city,population,gdp,area_km2,avg_income,green_coverage
Beijing,21540000,40269,16410,75000,48.5
Shanghai,24870000,43214,6340,82000,39.2
Guangzhou,18680000,28231,7434,65000,45.1
Shenzhen,17560000,32387,1997,78000,40.8
Chengdu,21270000,20817,14335,55000,44.6
Hangzhou,12200000,18109,16850,72000,42.3
Wuhan,13640000,18866,8569,58000,41.7
Nanjing,9420000,16355,6587,68000,46.2
Tianjin,13870000,15695,11966,60000,37.8
Chongqing,32050000,27894,82400,48000,43.5
Suzhou,12750000,22718,8488,70000,44.9
Xi'an,13000000,11412,10752,52000,43.1
Zhengzhou,12600000,12691,7446,50000,38.6
Changsha,10240000,13270,11816,56000,42.8
Qingdao,10070000,14136,11293,54000,40.3
Dongguan,10470000,11260,2460,62000,37.5
Foshan,9500000,12156,3797,58000,41.2
Hefei,9370000,11413,11445,53000,46.0
Ningbo,9540000,14594,9816,66000,43.7
Dalian,7450000,8102,12574,57000,44.8
