department,revenue,employees,area,satisfaction,growth_rate
Marketing,5000000,120,500,85,12.5
Sales,8000000,200,800,78,8.3
Engineering,12000000,350,1200,92,15.7
Design,3000000,80,400,88,10.2
Finance,4500000,90,350,75,5.1
HR,2000000,60,280,82,6.8
Legal,3500000,45,250,70,3.2
Operations,6000000,180,700,80,9.4
R&D,10000000,280,1000,95,18.6
Customer Service,3200000,150,550,72,7.1
IT Infrastructure,5500000,100,450,86,11.3
Data Science,7000000,65,300,94,22.4
Product Management,4800000,70,320,89,14.1
Quality Assurance,2500000,55,200,76,4.5
Supply Chain,4200000,110,600,74,6.2
Public Relations,1800000,40,180,81,8.9
Business Development,6500000,95,380,87,13.7
Training,1500000,35,150,79,5.6
Security,2800000,75,350,73,3.8
Analytics,5800000,85,320,91,19.2
