vehicle_id,sample_count,health_score,risk_level,capacity_score,range_score,temperature_score,voltage_score,mean_temperature_c,max_temperature_c,voltage_std,capacity_retention,risk_reasons
EV000001,8,92.49,健康,100.0,100.0,100.0,62.44,29.5,33.47,4.6946,1.0117,电压波动较大
EV000002,9,59.41,高风险,71.4,95.06,17.5,35.8,45.46,51.88,8.0244,0.714,容量保持率偏低；存在高温记录；电压波动较大
EV000003,6,77.7,良好,65.35,85.35,100.0,67.43,28.12,30.13,4.0709,0.6535,容量保持率偏低；电压波动较大
EV000004,9,88.96,良好,100.0,100.0,100.0,44.82,27.95,34.2,6.8969,1.0079,电压波动较大
EV000005,14,89.3,良好,100.0,100.0,100.0,46.51,28.28,33.0,6.6864,1.0073,电压波动较大
EV000006,14,62.66,关注,48.0,64.26,100.0,48.96,28.06,33.14,6.3799,0.48,容量保持率偏低；电压波动较大；估算续航偏低
EV000007,9,77.14,良好,85.38,100.0,100.0,11.27,29.64,37.56,11.091,0.8538,电压波动较大
EV000008,17,80.06,良好,71.8,96.65,100.0,53.86,29.6,35.44,5.7677,0.718,容量保持率偏低；电压波动较大
EV000009,5,70.01,关注,83.02,100.0,26.64,53.11,46.27,47.75,5.8612,0.8302,存在高温记录；电压波动较大
EV000010,16,85.77,良好,98.87,100.0,98.87,31.92,30.28,36.49,8.5096,0.9887,电压波动较大
EV000011,12,81.98,良好,84.18,100.0,100.0,37.6,28.6,34.32,7.7998,0.8418,电压波动较大
EV000012,12,73.11,关注,63.45,84.75,100.0,48.58,28.53,31.65,6.4274,0.6345,容量保持率偏低；电压波动较大
EV000013,15,59.4,高风险,63.02,84.73,26.7,54.1,45.0,49.43,5.7375,0.6302,容量保持率偏低；存在高温记录；电压波动较大
EV000014,13,69.47,关注,56.66,76.2,100.0,52.93,29.55,33.72,5.8838,0.5666,容量保持率偏低；电压波动较大
EV000015,17,65.17,关注,56.03,73.69,100.0,35.69,28.58,36.19,8.0393,0.5603,容量保持率偏低；电压波动较大；估算续航偏低
EV000016,11,81.44,良好,83.8,100.0,100.0,35.52,28.94,34.25,8.0594,0.838,电压波动较大
EV000017,8,74.04,关注,65.56,88.52,100.0,44.82,27.9,33.37,6.8976,0.6556,容量保持率偏低；电压波动较大
EV000018,16,78.6,良好,71.5,96.61,100.0,47.13,29.46,32.5,6.6092,0.715,容量保持率偏低；电压波动较大
EV000019,15,77.49,良好,71.91,95.77,100.0,41.88,28.97,35.97,7.2646,0.7191,容量保持率偏低；电压波动较大
EV000020,8,74.64,关注,71.41,94.77,98.16,31.62,30.46,33.13,8.5471,0.7141,容量保持率偏低；电压波动较大
