vehicle_id,temperature_c,voltage_v,remaining_capacity_kwh,estimated_range_km
WA-258127145,25,360.0,15.2,25.69
WA-258127145,30,360.2,15.8,26.7
WA-258127145,35,360.4,16.4,27.72
WA-258127145,40,360.6,17.0,28.73
WA-4735426,36,361.3,57.8,317.91
WA-4735426,41,361.5,59.89,329.4
WA-4735426,27,360.1,61.98,340.89
WA-4735426,32,360.3,64.07,352.38
WA-272697666,28,361.0,21.33,117.32
WA-272697666,33,361.2,22.04,121.23
WA-272697666,38,361.4,18.01,99.07
WA-272697666,43,360.0,18.72,102.98
WA-477309682,39,360.7,49.56,272.62
WA-477309682,25,360.9,51.5,283.24
WA-477309682,30,361.1,53.43,293.86
WA-477309682,35,361.3,55.36,304.48
WA-258112970,31,360.4,51.12,281.18
WA-258112970,36,360.6,52.95,291.22
WA-258112970,41,360.8,54.77,301.27
WA-258112970,27,361.0,56.6,311.31
WA-167243303,42,360.1,18.2,36.61
WA-167243303,28,360.3,18.8,37.82
WA-167243303,33,360.5,15.4,30.98
WA-167243303,38,360.7,16.0,32.18
WA-475113859,34,361.4,15.6,18.83
WA-475113859,39,360.0,16.2,19.55
WA-475113859,25,360.2,16.8,20.28
WA-475113859,30,360.4,17.4,21.0
WA-141889702,26,361.1,49.74,273.59
WA-141889702,31,361.3,51.5,283.25
WA-141889702,36,361.5,53.25,292.9
WA-141889702,41,360.1,55.01,302.56
WA-151200255,37,360.8,69.73,383.47
WA-151200255,42,361.0,72.0,395.98
WA-151200255,28,361.2,59.12,325.12
WA-151200255,33,361.4,61.39,337.62
WA-110038288,29,360.5,50.85,279.7
WA-110038288,34,360.7,52.78,290.32
WA-110038288,39,360.9,54.71,300.94
WA-110038288,25,361.1,56.65,311.56
WA-476821908,40,360.2,26.93,148.09
WA-476821908,26,360.4,27.87,153.26
WA-476821908,31,360.6,28.81,158.42
WA-476821908,36,360.8,29.74,163.59
WA-105033995,32,361.5,40.55,223.0
WA-105033995,37,360.1,33.14,182.24
WA-105033995,42,360.3,34.44,189.43
WA-105033995,28,360.5,35.75,196.63
WA-168586911,43,361.2,35.11,193.12
WA-168586911,29,361.4,36.43,200.36
WA-168586911,34,360.0,37.75,207.6
WA-168586911,39,360.2,39.06,214.85
WA-161449207,35,360.9,53.46,294.03
WA-161449207,40,361.1,55.31,304.16
WA-161449207,26,361.3,57.15,314.3
WA-161449207,31,361.5,46.7,256.85
WA-206534037,27,360.6,57.21,314.66
WA-206534037,32,360.8,46.86,257.75
WA-206534037,37,361.0,48.69,267.79
WA-206534037,42,361.2,50.51,277.83
WA-275383685,38,360.3,55.23,303.73
WA-275383685,43,360.5,57.27,314.98
WA-275383685,29,360.7,59.32,326.23
WA-275383685,34,360.9,61.36,337.48
WA-476329178,30,360.0,54.08,297.4
WA-476329178,35,360.2,55.92,307.54
WA-476329178,40,360.4,57.76,317.68
WA-476329178,26,360.6,47.32,260.23
WA-212217764,41,361.3,19.0,47.4
WA-212217764,27,361.5,15.6,38.91
WA-212217764,32,360.1,16.2,40.41
WA-212217764,37,360.3,16.8,41.91
WA-3572089,33,361.0,17.28,95.01
WA-3572089,38,361.2,17.91,98.49
WA-3572089,43,361.4,18.54,101.97
WA-3572089,29,360.0,19.17,105.44
WA-6097171,25,360.7,52.08,286.46
WA-6097171,30,360.9,53.84,296.12
WA-6097171,35,361.1,55.59,305.78
WA-6097171,40,361.3,45.65,251.06
WA-257719346,36,360.4,15.2,25.69
