vehicle_id,brand,model,battery_type,battery_capacity_kwh,model_year,electric_range_km,state
WA-258127145,JEEP,WRANGLER,PHEV,20.0,2023,33.8,WA
WA-4735426,CHEVROLET,BOLT EV,BEV,69.64,2019,383.02,WA
WA-272697666,BMW,I3,BEV,23.7,2015,130.36,WA
WA-477309682,TESLA,MODEL 3,BEV,64.37,2019,354.05,WA
WA-258112970,TESLA,MODEL S,BEV,60.86,2015,334.74,WA
WA-167243303,JEEP,WRANGLER,PHEV,20.0,2021,40.23,WA
WA-475113859,BMW,530E,PHEV,20.0,2019,24.14,WA
WA-141889702,TESLA,MODEL X,BEV,58.52,2017,321.87,WA
WA-151200255,CHEVROLET,BOLT EV,BEV,75.79,2020,416.82,WA
WA-110038288,TESLA,MODEL 3,BEV,64.37,2019,354.05,WA
WA-476821908,NISSAN,LEAF,BEV,31.31,2017,172.2,WA
WA-105033995,NISSAN,LEAF,BEV,43.6,2020,239.79,WA
WA-168586911,NISSAN,LEAF,BEV,43.89,2019,241.4,WA
WA-161449207,TESLA,MODEL S,BEV,61.45,2017,337.96,WA
WA-206534037,TESLA,MODEL S,BEV,60.86,2014,334.74,WA
WA-275383685,POLESTAR,PS2,BEV,68.18,2021,374.98,WA
WA-476329178,TESLA,MODEL S,BEV,61.45,2016,337.96,WA
WA-212217764,HYUNDAI,SANTA FE,PHEV,20.0,2022,49.89,WA
WA-3572089,BMW,I3,PHEV,21.07,2015,115.87,WA
WA-6097171,TESLA,MODEL X,BEV,58.52,2016,321.87,WA
WA-257719346,JEEP,WRANGLER,PHEV,20.0,2024,33.8,WA
WA-219734462,BMW,330E,PHEV,20.0,2018,22.53,WA
WA-194152171,TOYOTA,PRIUS PRIME,PHEV,20.0,2018,40.23,WA
WA-264273663,TESLA,MODEL 3,BEV,62.91,2018,346.01,WA
WA-204708647,VOLVO,XC60,PHEV,20.0,2022,56.33,WA
WA-244932159,BMW,X5,PHEV,20.0,2021,48.28,WA
WA-474468501,FIAT,500,BEV,25.46,2015,140.01,WA
WA-474502500,TESLA,MODEL 3,BEV,62.91,2018,346.01,WA
WA-187859941,TESLA,MODEL S,BEV,61.45,2017,337.96,WA
WA-475437938,CHEVROLET,BOLT EV,BEV,69.64,2019,383.02,WA
WA-118167990,TESLA,MODEL S,BEV,60.86,2015,334.74,WA
WA-269489167,TESLA,MODEL 3,BEV,62.91,2018,346.01,WA
WA-126152974,TESLA,MODEL 3,BEV,94.22,2020,518.21,WA
WA-270047242,MAZDA,CX-90,PHEV,20.0,2024,41.84,WA
WA-275694401,MAZDA,CX-90,PHEV,20.0,2025,41.84,WA
WA-194200681,KIA,NIRO,PHEV,20.0,2022,41.84,WA
WA-248653954,TESLA,MODEL 3,BEV,62.91,2018,346.01,WA
WA-301647265,TESLA,MODEL S,BEV,79.0,2019,434.52,WA
WA-5470846,TESLA,MODEL X,BEV,58.52,2017,321.87,WA
WA-142025740,TESLA,MODEL X,BEV,84.56,2019,465.1,WA
WA-478549984,VOLVO,XC90,PHEV,20.0,2020,28.97,WA
WA-124633715,TESLA,MODEL Y,BEV,85.15,2020,468.32,WA
WA-478609771,TESLA,MODEL 3,BEV,64.37,2019,354.05,WA
WA-111162012,TESLA,MODEL S,BEV,60.86,2013,334.74,WA
WA-164145264,NISSAN,LEAF,BEV,21.36,2011,117.48,WA
WA-109867208,TESLA,MODEL 3,BEV,62.91,2018,346.01,WA
WA-269483644,LEXUS,RX,PHEV,20.0,2024,59.55,WA
WA-122291851,NISSAN,LEAF,BEV,43.6,2020,239.79,WA
WA-247511316,NISSAN,LEAF,BEV,24.58,2014,135.18,WA
WA-349687754,TESLA,MODEL 3,BEV,62.91,2018,346.01,WA
WA-321718624,TESLA,MODEL 3,BEV,64.37,2019,354.05,WA
WA-172153082,TESLA,MODEL X,BEV,85.73,2020,471.54,WA
WA-272262812,CHEVROLET,BOLT EV,BEV,69.64,2018,383.02,WA
WA-183220649,BMW,I3,BEV,23.7,2015,130.36,WA
WA-256957333,JEEP,WRANGLER,PHEV,20.0,2023,33.8,WA
WA-275506031,BMW,X5,PHEV,20.0,2024,62.76,WA
WA-275146042,KIA,NIRO,PHEV,20.0,2024,53.11,WA
WA-258988187,KIA,NIRO,BEV,69.93,2020,384.63,WA
WA-305712949,NISSAN,LEAF,BEV,43.89,2019,241.4,WA
