charge_id,vehicle_id,station_id,start_time,charge_duration_min,start_soc_percent,end_soc_percent,average_power_kw,max_temperature_c,charging_status
CHG0000001,EV000187,ST003,2025-02-01T00:00:00Z,18.9,37.15,70.15,68.04,36.12,completed
CHG0000002,EV000270,ST001,2025-02-01T03:00:00Z,46.7,43.32,83.91,63.45,38.32,completed
CHG0000003,EV000102,ST001,2025-02-01T06:00:00Z,57.3,38.18,72.61,47.74,38.32,completed
CHG0000004,EV000444,ST002,2025-02-01T09:00:00Z,39.8,24.84,72.48,51.76,36.34,completed
CHG0000005,EV000094,ST003,2025-02-01T12:00:00Z,48.8,19.96,88.45,63.97,41.8,completed
CHG0000006,EV000448,ST001,2025-02-01T15:00:00Z,51.8,40.35,75.11,57.29,38.01,completed
CHG0000007,EV000270,ST004,2025-02-01T18:00:00Z,45.3,40.46,80.92,58.15,47.59,completed
CHG0000008,EV000309,ST004,2025-02-01T21:00:00Z,40.9,30.35,80.24,44.66,35.43,completed
CHG0000009,EV000422,ST004,2025-02-02T00:00:00Z,53.6,38.29,70.77,54.19,41.0,completed
CHG0000010,EV000088,ST003,2025-02-02T03:00:00Z,52.1,28.7,88.13,49.24,49.22,completed
CHG0000011,EV000177,ST002,2025-02-02T06:00:00Z,113.5,24.08,76.9,59.56,34.13,completed
CHG0000012,EV000002,ST004,2025-02-02T09:00:00Z,43.4,14.06,90.75,67.5,50.48,completed
CHG0000013,EV000002,ST003,2025-02-02T12:00:00Z,48.5,41.97,92.62,55.56,50.3,completed
CHG0000014,EV000427,ST002,2025-02-02T15:00:00Z,49.4,35.8,84.09,48.35,36.77,completed
CHG0000015,EV000200,ST002,2025-02-02T18:00:00Z,52.4,34.05,73.89,70.43,40.65,completed
CHG0000016,EV000485,ST001,2025-02-02T21:00:00Z,43.2,19.71,84.14,55.57,42.04,completed
CHG0000017,EV000427,ST004,2025-02-03T00:00:00Z,52.0,16.1,83.11,69.5,36.42,completed
CHG0000018,EV000402,ST003,2025-02-03T03:00:00Z,58.9,42.14,80.68,53.43,40.61,completed
CHG0000019,EV000009,ST001,2025-02-03T06:00:00Z,45.4,14.58,83.53,61.63,46.93,completed
CHG0000020,EV000417,ST001,2025-02-03T09:00:00Z,52.0,12.68,92.19,53.83,37.38,completed
CHG0000021,EV000031,ST004,2025-02-03T12:00:00Z,37.8,24.87,97.49,82.48,33.68,completed
CHG0000022,EV000071,ST004,2025-02-03T15:00:00Z,59.0,24.74,89.04,56.54,38.55,completed
CHG0000023,EV000134,ST003,2025-02-03T18:00:00Z,102.3,31.92,87.14,45.82,35.17,completed
CHG0000024,EV000402,ST003,2025-02-03T21:00:00Z,47.7,24.45,73.5,52.12,41.12,completed
CHG0000025,EV000187,ST004,2025-02-04T00:00:00Z,52.8,20.96,95.25,48.19,29.71,completed
CHG0000026,EV000108,ST003,2025-02-04T03:00:00Z,107.7,34.84,78.06,52.68,39.73,completed
CHG0000027,EV000024,ST004,2025-02-04T06:00:00Z,64.8,21.66,91.32,53.58,35.68,completed
CHG0000028,EV000358,ST003,2025-02-04T09:00:00Z,62.7,41.24,78.8,60.22,31.67,completed
