fault_id,vehicle_id,fault_time,fault_type,fault_level,repair_status
FLT000001,EV000306,2025-03-01T00:00:00Z,none,low,resolved
FLT000002,EV000069,2025-03-01T08:00:00Z,none,high,resolved
FLT000003,EV000411,2025-03-01T16:00:00Z,none,low,resolved
FLT000004,EV000168,2025-03-02T00:00:00Z,none,low,resolved
FLT000005,EV000179,2025-03-02T08:00:00Z,none,high,pending
FLT000006,EV000261,2025-03-02T16:00:00Z,none,high,resolved
FLT000007,EV000460,2025-03-03T00:00:00Z,none,low,pending
FLT000008,EV000375,2025-03-03T08:00:00Z,none,high,review
FLT000009,EV000437,2025-03-03T16:00:00Z,none,high,resolved
FLT000010,EV000331,2025-03-04T00:00:00Z,none,low,resolved
FLT000011,EV000159,2025-03-04T08:00:00Z,none,low,review
FLT000012,EV000472,2025-03-04T16:00:00Z,battery_temperature,high,pending
FLT000013,EV000182,2025-03-05T00:00:00Z,battery_temperature,high,review
FLT000014,EV000221,2025-03-05T08:00:00Z,none,low,review
FLT000015,EV000091,2025-03-05T16:00:00Z,charging_efficiency,low,review
FLT000016,EV000372,2025-03-06T00:00:00Z,none,low,resolved
FLT000017,EV000092,2025-03-06T08:00:00Z,none,low,pending
FLT000018,EV000403,2025-03-06T16:00:00Z,none,low,pending
FLT000019,EV000334,2025-03-07T00:00:00Z,battery_temperature,high,pending
FLT000020,EV000338,2025-03-07T08:00:00Z,none,low,review
FLT000021,EV000357,2025-03-07T16:00:00Z,none,low,pending
FLT000022,EV000405,2025-03-08T00:00:00Z,none,low,resolved
FLT000023,EV000346,2025-03-08T08:00:00Z,none,low,review
FLT000024,EV000206,2025-03-08T16:00:00Z,none,high,review
FLT000025,EV000446,2025-03-09T00:00:00Z,none,low,resolved
FLT000026,EV000219,2025-03-09T08:00:00Z,none,low,review
FLT000027,EV000481,2025-03-09T16:00:00Z,none,low,review
FLT000028,EV000155,2025-03-10T00:00:00Z,battery_temperature,high,resolved
FLT000029,EV000146,2025-03-10T08:00:00Z,none,low,pending
FLT000030,EV000218,2025-03-10T16:00:00Z,charging_efficiency,low,pending
FLT000031,EV000144,2025-03-11T00:00:00Z,none,low,resolved
FLT000032,EV000217,2025-03-11T08:00:00Z,none,low,pending
FLT000033,EV000160,2025-03-11T16:00:00Z,none,high,review
FLT000034,EV000200,2025-03-12T00:00:00Z,none,low,pending
FLT000035,EV000140,2025-03-12T08:00:00Z,battery_temperature,high,pending
FLT000036,EV000482,2025-03-12T16:00:00Z,none,low,review
FLT000037,EV000244,2025-03-13T00:00:00Z,none,low,pending
FLT000038,EV000245,2025-03-13T08:00:00Z,none,low,resolved
FLT000039,EV000217,2025-03-13T16:00:00Z,none,low,pending
FLT000040,EV000029,2025-03-14T00:00:00Z,none,low,resolved
FLT000041,EV000476,2025-03-14T08:00:00Z,charging_efficiency,low,resolved
FLT000042,EV000337,2025-03-14T16:00:00Z,charging_efficiency,low,pending
FLT000043,EV000109,2025-03-15T00:00:00Z,battery_temperature,high,pending
FLT000044,EV000029,2025-03-15T08:00:00Z,none,low,pending
FLT000045,EV000388,2025-03-15T16:00:00Z,none,high,review
FLT000046,EV000386,2025-03-16T00:00:00Z,none,low,resolved
FLT000047,EV000299,2025-03-16T08:00:00Z,none,low,pending
FLT000048,EV000108,2025-03-16T16:00:00Z,charging_efficiency,low,pending
FLT000049,EV000146,2025-03-17T00:00:00Z,none,low,pending
FLT000050,EV000417,2025-03-17T08:00:00Z,none,high,resolved
FLT000051,EV000499,2025-03-17T16:00:00Z,none,low,pending
FLT000052,EV000197,2025-03-18T00:00:00Z,charging_efficiency,low,pending
FLT000053,EV000298,2025-03-18T08:00:00Z,none,low,resolved
FLT000054,EV000472,2025-03-18T16:00:00Z,battery_temperature,high,review
FLT000055,EV000160,2025-03-19T00:00:00Z,none,high,resolved
