vehicle_id,brand,model,battery_type,battery_capacity_kwh,production_date,risk_type,total_mileage_km
EV000001,Voltix,G1,NMC,50,2022-01-01,healthy,9932.7
EV000002,GreenDrive,E3,NMC,70,2022-01-03,hot,23952.2
EV000003,E-Motion,V1,LFP,60,2022-01-05,mileage,68582.5
EV000004,Voltix,A1,LFP,50,2022-01-07,healthy,54499.0
EV000005,E-Motion,E3,NMC,50,2022-01-09,healthy,17155.9
EV000006,GreenDrive,G1,NMC,80,2022-01-11,degraded,30329.5
EV000007,GreenDrive,G1,LFP,60,2022-01-13,charging,50697.8
EV000008,Voltix,A2,NMC,70,2022-01-15,healthy,33945.9
EV000009,Voltix,V2,LFP,60,2022-01-17,hot,32726.7
EV000010,Aurora,A1,NMC,50,2022-01-19,healthy,16466.4
EV000011,GreenDrive,G1,LFP,60,2022-01-21,fault,46272.5
EV000012,Voltix,A1,LFP,80,2022-01-23,charging,48669.0
EV000013,Voltix,E3,LFP,80,2022-01-25,hot,22338.9
EV000014,Voltix,E3,NMC,70,2022-01-27,degraded,1000.0
EV000015,Aurora,V1,NMC,70,2022-01-29,mileage,69126.9
EV000016,Aurora,G1,LFP,60,2022-01-31,charging,24113.3
EV000017,E-Motion,A1,LFP,80,2022-02-02,healthy,44208.0
EV000018,Voltix,G1,NMC,70,2022-02-04,healthy,21392.3
EV000019,Voltix,V1,LFP,70,2022-02-06,healthy,23379.2
EV000020,GreenDrive,E3,LFP,70,2022-02-08,healthy,53939.2
EV000021,Aurora,A1,NMC,70,2022-02-10,mileage,31089.7
EV000022,Voltix,G1,NMC,80,2022-02-12,healthy,50639.1
EV000023,Voltix,A1,LFP,70,2022-02-14,hot,51070.5
EV000024,Voltix,G1,LFP,70,2022-02-16,healthy,27597.6
EV000025,Aurora,A2,LFP,60,2022-02-18,healthy,42104.7
EV000026,GreenDrive,V2,LFP,60,2022-02-20,healthy,50736.9
EV000027,Voltix,E3,NMC,50,2022-02-22,healthy,59154.2
EV000028,Aurora,V2,NMC,60,2022-02-24,mileage,32081.3
EV000029,E-Motion,V2,LFP,70,2022-02-26,healthy,37071.6
EV000030,E-Motion,G1,LFP,50,2022-02-28,healthy,20056.3
EV000031,E-Motion,V2,LFP,80,2022-03-02,healthy,50966.1
EV000032,GreenDrive,V2,NMC,60,2022-03-04,charging,38761.0
EV000033,E-Motion,A1,LFP,80,2022-03-06,degraded,13041.8
EV000034,Voltix,A2,NMC,80,2022-03-08,hot,30707.7
EV000035,Voltix,V1,NMC,50,2022-03-10,healthy,34938.4
EV000036,E-Motion,G1,LFP,60,2022-03-12,fault,26444.3
EV000037,GreenDrive,V2,LFP,50,2022-03-14,mileage,24113.5
EV000038,E-Motion,A1,NMC,80,2022-03-16,healthy,7719.0
EV000039,E-Motion,A2,NMC,60,2022-03-18,charging,38815.7
EV000040,Aurora,V2,NMC,60,2022-03-20,healthy,29459.3
EV000041,Voltix,A1,NMC,80,2022-03-22,hot,53524.8
EV000042,E-Motion,G1,LFP,70,2022-03-24,healthy,35234.6
EV000043,GreenDrive,A2,LFP,50,2022-03-26,healthy,52141.1
EV000044,GreenDrive,E3,NMC,50,2022-03-28,hot,15711.1
EV000045,E-Motion,E3,LFP,50,2022-03-30,healthy,43898.5
EV000046,GreenDrive,V2,LFP,50,2022-04-01,mileage,50179.8
EV000047,Aurora,V2,LFP,60,2022-04-03,mileage,50471.8
EV000048,E-Motion,V1,NMC,60,2022-04-05,healthy,32234.6
EV000049,Voltix,A2,NMC,60,2022-04-07,degraded,21313.1
EV000050,Voltix,A2,LFP,80,2022-04-09,mileage,67147.1
